TARGET	DOMAIN	STATUS	SCORE	MATCHED_SEED	MATCHED_REDIRECT_HOST	IP	SCHEME	HTTP_STATUS	REDIRECT_HOST	TITLE_SIMILARITY	CONTENT_SIMILARITY	SSL_ISSUER	SERVER_BANNER	NOTE
Okta	octa.com	LOW_MATCH	2	okta.com	www.okta.com	23.227.38.65	https	200	octa.com	0.10	0.02	Unknown	cloudflare	
Okta	oktya.com	LOW_MATCH	2	okta.com	www.okta.com	172.67.68.44,104.26.2.86,104.26.3.86,2606:4700:20::ac43:442c,2606:4700:20::681a:256,2606:4700:20::681a:356	https	403	oktya.com	0.34	0.02	Unknown	cloudflare	
Okta	olkta.com	LOW_MATCH	2	okta.com	www.okta.com	142.93.207.227	https	403	menu.brianburgers.com.ar	0.25	0.02	Unknown	cloudflare	redirects to menu.brianburgers.com.ar
Okta	olta.com	LOW_MATCH	2	okta.com	www.okta.com	13.56.33.8	https	403	www.brandbucket.com	0.25	0.02	Unknown	cloudflare	redirects to www.brandbucket.com
Shopify	shopefy.com	LOW_MATCH	2	shopify.com	www.shopify.com	23.227.38.65	https	200	shopefy.com	0.11	0.02	Unknown	cloudflare	
Stripe	xn--strpe-1sa.com	LOW_MATCH	2	stripe.com	stripe.com	217.19.248.132	https	200	xn--strpe-1sa.com	0.19	0.02	Unknown	nginx	
Auth0	auth0b.com	LOW_MATCH	2	auth0.com	auth0.com	172.64.149.55,104.18.38.201,2a06:98c1:310d::ac40:9537,2606:4700:4409::6812:26c9	https	403	auth0b.com	0.32	0.01	Unknown	cloudflare	
Cloudflare	cloudflarec.com	LOW_MATCH	2	cloudflare.com	www.cloudflare.com	104.21.41.167,172.67.191.186,2606:4700:3034::ac43:bfba,2606:4700:3036::6815:29a7	https	403	cloudflarec.com	0.21	0.01	Unknown	cloudflare	
Cloudflare	cloudflarer.com	LOW_MATCH	2	cloudflare.com	www.cloudflare.com	104.21.25.97,172.67.133.250,2606:4700:3034::ac43:85fa,2606:4700:3037::6815:1961	https	520	cloudflarer.com	0.43	0.01	Unknown	cloudflare	
Cloudflare	cluodflare.com	LOW_MATCH	2	cloudflare.com	www.cloudflare.com	172.67.215.205,104.21.69.242,2606:4700:3032::ac43:d7cd,2606:4700:3033::6815:45f2	https	404	cluodflare.com	0.24	0.01	Unknown	cloudflare	
Cloudflare	xn--clodflare-26b.com	LOW_MATCH	2	cloudflare.com	www.cloudflare.com	172.67.199.28,104.21.13.87,2606:4700:3034::ac43:c71c,2606:4700:3035::6815:d57	https	403	xn--clodflare-26b.com	0.30	0.01	Unknown	cloudflare	
Docker	docker1.com	LOW_MATCH	2	docker.com	www.docker.com	38.147.179.57	https	200	www.docker1.com	0.06	0.01	Unknown	nginx	redirects to www.docker1.com
DocuSign	docsign.com	LOW_MATCH	2	docusign.com	www.docusign.com	18.208.88.157,98.84.224.111	https	200	docsign.com	0.41	0.01	Unknown	Netlify	
Dropbox	dropb0x.com	LOW_MATCH	2	hellosign.com	sign.dropbox.com	172.67.194.54,104.21.74.2,2606:4700:3032::6815:4a02,2606:4700:3035::ac43:c236	https	200	brandjacking.com	0.26	0.01	Unknown	cloudflare	redirects to brandjacking.com
Dropbox	droxbox.com	LOW_MATCH	2	hellosign.com	sign.dropbox.com	54.215.31.113	https	200	forsale.dynadot.com	0.21	0.01	Unknown	cloudflare	redirects to forsale.dynadot.com
Dropbox	hallosign.com	LOW_MATCH	2	hellosign.com	sign.dropbox.com	172.67.139.132,104.21.8.139,2606:4700:3037::6815:88b,2606:4700:3035::ac43:8b84	https	526	xsigi.com	0.20	0.01	Unknown	cloudflare	redirects to xsigi.com
Dropbox	heliosign.com	LOW_MATCH	2	hellosign.com	sign.dropbox.com	185.230.63.171,185.230.63.186,185.230.63.107	https	200	www.heliosign.com	0.20	0.01	Unknown	cloudflare	redirects to www.heliosign.com
FedEx	fedexx.com	LOW_MATCH	2	fedex.com	www.fedex.com	170.9.240.198	https	200	www.adameve.com	0.23	0.01	Unknown	Apache	redirects to www.adameve.com
FedEx	ferdex.com	LOW_MATCH	2	fedex.com	www.fedex.com	217.160.0.163,2001:8d8:100f:f000::202	https	200	ferdex.com	0.16	0.01	Unknown	Apache	
GitLab	bitlab.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	13.56.33.8	https	403	www.brandbucket.com	0.24	0.01	Unknown	cloudflare	redirects to www.brandbucket.com
GitLab	giftlab.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	104.17.232.29	https	200	www.giftlab.com	0.22	0.01	Unknown	cloudflare	redirects to www.giftlab.com
GitLab	gitlabz.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	172.67.181.225,104.21.31.253,2606:4700:3033::ac43:b5e1,2606:4700:3036::6815:1ffd	https	200	gitlabz.com	0.27	0.01	Unknown	cloudflare	
GitLab	gutlab.com	LOW_MATCH	2	gitlab.com	about.gitlab.com	15.197.225.128,3.33.251.168	https	200	www.gutlab.co.za	0.40	0.01	Unknown	cloudflare	redirects to www.gutlab.co.za
Notion	motion.so	LOW_MATCH	2	notion.so	www.notion.com	104.26.12.198,172.67.70.65,104.26.13.198,2606:4700:20::ac43:4641,2606:4700:20::681a:dc6,2606:4700:20::681a:cc6	https	200	motion.so	0.08	0.01	Unknown	cloudflare	
Okta	kta.com	LOW_MATCH	2	okta.com	www.okta.com	162.159.134.42	https	200	kta.com	0.25	0.01	Unknown	cloudflare	
Okta	oita.com	LOW_MATCH	2	okta.com	www.okta.com	104.21.45.90,172.67.212.169,2606:4700:3030::6815:2d5a,2606:4700:3035::ac43:d4a9	https	200	bestweb.com	0.14	0.01	Unknown	cloudflare	redirects to bestweb.com
Okta	oka.com	LOW_MATCH	2	okta.com	www.okta.com	23.227.38.65	https	200	www.oka.com	0.15	0.01	Unknown	cloudflare	redirects to www.oka.com
Okta	oktam.com	LOW_MATCH	2	okta.com	www.okta.com	15.197.225.128,3.33.251.168	https	200	wetocean.com	0.23	0.01	Unknown	cloudflare	redirects to wetocean.com
Slack	sladc.com	LOW_MATCH	2	slack.com	slack.com	15.197.225.128,3.33.251.168	https	200	shineslikeadiamond.com	0.08	0.01	Unknown	Apache	redirects to shineslikeadiamond.com
Stripe	stirpe.com	LOW_MATCH	2	stripe.com	stripe.com	193.163.5.17,2a10:f2c0:150::17	https	200	stirpe.com	0.15	0.01	Unknown	nginx	
Stripe	stripr.com	LOW_MATCH	2	stripe.com	stripe.com	16.54.133.65,15.223.93.235	https	200	stripr.com	0.34	0.01	Unknown	nginx	
Venmo	venma.com	LOW_MATCH	2	venmo.com	venmo.com	35.187.46.239	https	404	venma.com	0.26	0.01	Unknown	nginx	
Venmo	veno.com	LOW_MATCH	2	venmo.com	venmo.com	78.46.187.164	https	200	veno.com	0.20	0.01	Unknown	nginx	
Zoom	zoopm.us	LOW_MATCH	2	zoom.us	www.zoom.com	212.7.209.215	https	200	preview.safedomainguardian.com	0.00	0.01	Unknown	cloudflare	redirects to preview.safedomainguardian.com; page title unavailable
Amazon	amazone.com	LOW_MATCH	2	amazon.com	www.amazon.com	75.2.51.62,99.83.179.101	https	200	www.amazon.fr	0.00	0.00	Unknown	AkamaiGHost	redirects to www.amazon.fr; page title unavailable; visible text unavailable
Box	bax.com	LOW_MATCH	2	box.com	www.box.com	15.197.225.128,3.33.251.168	https	200	mediaoptions.com	0.00	0.00	Unknown	cloudflare	redirects to mediaoptions.com
Box	bbox.com	LOW_MATCH	2	box.com	www.box.com	23.227.38.65	https	200	www.bbox.com	0.00	0.00	Unknown	cloudflare	redirects to www.bbox.com
